url,url shortening,ip address,presence of favicon,dns record,age of domain,google index,prefix sufix,long url,label
www.voting-yahoo.com,0,1,1,1,0,1,1,0,1
www.zvon.org/xxl/WSDL1.1/Output/index.html,0,0,1,0,0,1,0,0,1
tecportais.com/file-security-update-infonfmation-pp-ll/nirvana.php?cmd=_login-run&dispatch=8cf66a395c5c3dda310e8fb8bd0bd8888cf66a395c5c3dda310e8fb8bd0bd888,0,1,1,1,0,1,1,1,1
bima.astro.umd.edu/nemo/linuxastro/,0,0,1,0,0,1,0,0,1
huarui-tec.com/js/?us.battle.net/login/en/?ref=gofcuyeus.battle.net/d3/en/index,0,0,0,0,1,1,1,1,1
diannaopeizhi.com/js/,0,0,1,0,0,1,0,0,1
www.synchrotech.com/support/install.html,0,0,0,0,0,0,0,0,1
www.ansi.okstate.edu/breeds/swine/largeblackwhite/,0,0,0,0,0,1,0,0,1
www.strum.co.uk/webbery/,0,0,0,0,0,0,0,0,1
www.grok2.com/vi-emacs.html,0,0,0,0,0,0,1,0,1
www.pbs.org/newshour/topic/business/,0,0,1,0,0,1,0,0,1
expertwear.pk/img/glyph/1/beveilings/online/index1.php,0,0,1,0,0,1,0,0,1
tools.ietf.org/html/rfc1162,0,0,1,0,0,1,0,0,1
www.iwiwueyrtrueruie.x10.mx/paypal./PayPal/paypal/webscrcmd=_login-run/cgi-bin/update/login/index.php,0,0,1,0,0,1,1,1,1
www.perl.com/pub/a/2001/07/25/onion.html,0,0,0,0,0,1,0,0,1
www.autotrader.co.uk/BIKES/,0,0,1,0,0,0,0,0,1
friendswoodexpress.homestead.com/tubes.html,0,0,0,0,0,1,0,0,1
tools.ietf.org/html/rfc1945,0,0,1,0,0,0,0,0,1
badluck42.tripod.com/CINDY.html,0,0,1,0,0,1,0,0,1
www.cliki.net/PLisp,0,0,1,0,0,0,0,0,1
swlucylawless.tripod.com/BrendaSchad.htm,0,0,1,0,0,0,0,0,1
remax.com.jpginnovations.com/remax/index.htm,1,0,0,0,0,1,0,0,1
www.sedit.com/rexxgrph.html,1,0,1,0,0,1,0,0,1
thethinklab.com/ttl/wp-content//themes/westpa/west.html,0,0,1,0,0,1,1,0,1
tools.ietf.org/html/rfc239,0,0,1,0,0,1,0,0,1
tools.ietf.org/html/rfc2339,0,0,1,0,0,1,0,0,1
www415.paypal.ca.20053.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_4792E694B2CF7F2A9778,0,0,1,0,0,1,1,1,1
paypal.com-us-cgi-bin.web.iscr.cmd-homeiielocale.xx13-en-us.vaidicastro.com/paypal/1c79f5bb3e07a1e02e1a42f955adfa41/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc37fd70a54f3461c949872eb622829a4f37fd70a54f3461c949872eb622829a4f,0,1,1,0,0,1,1,1,1
www.marketingprofs.com/5/buresh8.asp,0,0,0,0,0,0,0,0,1
schoolopdracht.herobo.com/socialedienst/login_scr.html,0,0,1,0,0,1,0,0,1
www.princeducation.com/paypl/webscr.html?cmd=5885d80a13c0db1f22d2300ef60a67593b79a4d03747447e6b625328d36121a11a7ab6441e2fc3f80ebe740491bfa9901a7ab6441e2fc3f80ebe740491bfa990,0,1,1,1,0,1,0,1,1
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cpaTNwVIVTqHIJwQDw64AAWpri3fTxzuh5ms2-9m_9yWaiFvsXBSyRG4-dQ2hZ-_6LafUjB5okVMjUCEmnRwK9RZclitoesXuxkvs9-JPyuwqZCk8G_2_l8IRek3KQ3Sg7tcowtQkx6FqMwSnU9pQzpnDO2n2yPX0PoAiF6rM3T7SZfWhsVVeAOgk4yZUNFvn_OXl7jY1K4R7YAigIoL18cWroA1A\%3D\%3D&amp;attredirects=2,0,0,1,0,0,0,1,1,1
www.tmtm.org/en/mysql/ruby/,0,0,1,0,0,0,0,0,1
www.brasilcielo.comeze.com/,0,0,1,0,0,1,0,0,1
